,bid,ask
1459889306.357005,420.55,420.56
1459889307.361669,420.55,420.56
1459889308.362648,420.55,420.56
1459889309.363205,420.55,420.56
1459889310.366679,420.55,420.56
1459889311.367505,420.57,420.68
1459889312.367654,420.61,420.67
1459889313.370019,420.62,420.67
1459889314.370281,420.63,420.67
1459889315.372005,420.63,420.67
1459889316.372865,420.63,420.67
1459889317.374019,420.63,420.67
1459889318.374715,420.63,420.67
1459889319.376982,420.63,420.67
1459889320.378215,420.63,420.67
1459889321.37839,420.63,420.67
1459889322.378892,420.63,420.67
1459889323.379333,420.63,420.67
1459889324.38435,420.65,420.67
1459889325.389327,420.65,420.67
1459889326.389656,420.65,420.67
1459889327.389713,420.65,420.67
1459889328.394136,420.65,420.67
1459889329.395295,420.65,420.67
1459889330.400314,420.65,420.67
1459889331.401912,420.65,420.67
1459889332.40212,420.65,420.67
1459889333.404053,420.65,420.67
1459889334.407122,420.65,420.67
1459889335.410756,420.65,420.67
1459889336.412402,420.65,420.67
1459889337.415723,420.65,420.67
1459889338.419832,420.65,420.67
1459889339.423222,420.65,420.67
1459889340.428458,420.65,420.67
1459889341.43255,420.63,420.67
1459889342.432778,420.63,420.67
1459889343.434385,420.63,420.67
1459889344.434906,420.63,420.67
1459889345.437177,420.63,420.67
1459889346.438991,420.63,420.67
1459889347.440088,420.63,420.67
1459889348.4422,420.63,420.67
1459889349.445089,420.63,420.67
1459889350.445434,420.63,420.67
1459889351.447784,420.63,420.67
1459889352.450398,420.65,420.67
1459889353.45327,420.65,420.67
1459889354.454144,420.65,420.67
1459889355.454551,420.65,420.67
1459889356.455146,420.65,420.67
1459889357.455272,420.65,420.67
1459889358.455812,420.65,420.67
1459889359.457062,420.65,420.67
1459889360.457173,420.65,420.67
1459889361.457344,420.63,420.67
1459889362.457495,420.63,420.67
1459889363.457722,420.63,420.67
1459889364.457962,420.63,420.67
1459889365.459,420.63,420.67
1459889366.460639,420.63,420.67
1459889367.461105,420.63,420.67
1459889368.462245,420.63,420.67
1459889369.464567,420.63,420.67
1459889370.464867,420.63,420.67
1459889371.468511,420.63,420.67
1459889372.471461,420.63,420.67
1459889373.474795,420.63,420.67
1459889374.475933,420.64,420.95
1459889375.476074,420.73,420.94
1459889376.478046,420.75,420.93
1459889377.478432,420.77,420.93
1459889378.478685,420.78,420.92
1459889379.478769,420.79,420.92
1459889380.479046,420.84,420.92
1459889381.479135,420.88,420.92
1459889382.482338,420.88,420.92
1459889383.482958,420.88,420.92
1459889384.483012,420.88,420.92
1459889385.483982,420.88,420.92
1459889386.487859,420.88,420.92
1459889387.488048,420.89,420.92
1459889388.489959,420.89,420.92
1459889389.490941,420.89,420.92
1459889390.491781,420.89,420.92
1459889391.492121,420.89,420.92
1459889392.492239,420.89,420.92
1459889393.492393,420.89,420.92
1459889394.492618,420.89,420.92
1459889395.492816,420.89,420.92
1459889396.494407,420.89,420.92
1459889397.497864,420.9,420.92
1459889398.498181,420.9,420.92
1459889399.502463,420.9,420.92
1459889400.502631,420.9,420.92
1459889401.504088,420.9,420.97
1459889402.505291,420.91,420.92
1459889403.50877,420.91,420.92
1459889404.509012,420.91,420.92
1459889405.510212,420.91,420.92
1459889406.510923,420.91,420.92
1459889407.515768,420.91,420.92
1459889408.517947,420.91,420.92
1459889409.518239,420.91,420.92
1459889410.523167,420.91,420.92
1459889411.526836,420.91,420.92
1459889412.528816,420.91,420.92
1459889413.530045,420.91,420.92
1459889414.530285,420.91,420.92
1459889415.535256,420.91,420.92
1459889416.536708,420.91,420.92
1459889417.537426,420.91,420.92
1459889418.542326,420.91,420.92
1459889419.544781,420.91,420.92
1459889420.545754,420.91,420.92
1459889421.546019,420.91,420.92
1459889422.546184,420.91,420.92
1459889423.546435,420.91,420.92
1459889424.547617,420.91,420.92
1459889425.551967,420.91,420.92
1459889426.552564,420.91,420.92
1459889427.553741,420.91,420.92
1459889428.556049,420.91,420.92
1459889429.556701,420.91,420.92
1459889430.556866,420.91,420.92
1459889431.558814,420.91,420.92
1459889432.559896,420.91,421.07
1459889433.56377,420.92,421.06
1459889434.564042,420.93,421.05
1459889435.564626,420.94,421.05
1459889436.568395,420.93,421.05
1459889437.57001,420.94,421.09
1459889438.570109,420.95,421.07
1459889439.574204,420.96,421.07
1459889440.574324,420.95,421.07
