,bid,ask
1459868941.382082,422.07,422.17
1459868941.482196,422.07,422.17
1459868941.582421,422.07,422.17
1459868941.682997,422.07,422.17
1459868941.783311,422.07,422.17
1459868941.88459,422.07,422.17
1459868941.985201,422.07,422.17
1459868942.085451,422.07,422.17
1459868942.186154,422.07,422.2
1459868942.286411,422.07,422.2
1459868942.386672,422.07,422.2
1459868942.486862,422.07,422.2
1459868942.587094,422.07,422.2
1459868942.68968,422.07,422.2
1459868942.790602,422.07,422.2
1459868942.891281,422.07,422.19
1459868942.991699,422.07,422.19
1459868943.092597,422.07,422.19
1459868943.196854,422.07,422.19
1459868943.297141,422.07,422.2
1459868943.397248,422.07,422.2
1459868943.497967,422.07,422.2
1459868943.598064,422.07,422.2
1459868943.698174,422.07,422.2
1459868943.798283,422.07,422.2
1459868943.899071,422.07,422.2
1459868943.999317,422.07,422.2
1459868944.099405,422.07,422.2
1459868944.199583,422.16,422.2
1459868944.300006,422.16,422.2
1459868944.400176,422.16,422.2
1459868944.500593,422.16,422.2
1459868944.603028,422.16,422.2
1459868944.703179,422.16,422.2
1459868944.803352,422.16,422.2
1459868944.903575,422.17,422.2
1459868945.003813,422.17,422.2
1459868945.103978,422.17,422.2
